cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
good,2,25.36,1,2,5,2,2,35000,2329667,125300,10.51,500000,330500,4,1
good,1,34.37,2,2,1,2,3,150000,1137425,662609,40.37,500000,1061972,5,1
bad,2,33.37,2,2,1,2,3,70000,3769776,25898,68.64,500000,23000,9,2
good,1,47.38,2,1,1,2,2,10000,1096039,245157,20.74,110000,250001,1,1
good,1,32.37,2,3,1,2,3,20000,1776618,244062,20.21,300000,286800,3,1
good,1,35.38,2,2,1,2,5,12000,475841,97187,74.91,127000,134000,0,2
good,1,46.38,2,2,1,2,1,15000,1348236,121551,18.23,500000,135000,3,1
good,2,43.39,2,2,5,1,3,30000,147200,106074,16,300000,135000,0,1
good,2,32.38,2,3,2,2,3,40000,669328,108373,61.32,190000,170000,1,1
good,1,35.39,1,3,1,2,3,50000,2273648,235994,23.21,500000,291700,2,1
good,1,25.38,1,2,5,1,3,10000,2175555,355684,26.51,500000,1040820,0,1
good,2,52.4,2,1,5,2,2,100000,299805,115749,35.91,300000,123000,11,2
good,2,54.41,2,2,1,2,3,83000,563958,316795,15.79,500000,437010,1,1
good,2,34.39,2,2,1,2,2,40000,351546,107366,29.48,240000,168000,0,1
good,2,43.4,2,1,1,2,2,40000,572422,56416,64.13,150000,63000,2,1
bad,1,34.39,2,2,3,1,4,4500,2220033,72316,27.86,500000,167000,1,1
good,2,33.39,2,3,5,2,3,60000,811780,187292,70.95,188000,383000,0,1
good,2,33.39,2,3,5,1,2,8000,494180,9500,25.27,150000,147333,0,1
good,1,39.4,2,2,1,2,2,50000,539870,149103,29.95,200000,296000,0,1
good,2,51.41,2,2,5,2,3,150000,2222872,309051,64.89,500000,285000,0,1
good,2,44.41,2,2,5,2,3,150000,263958,260662,70.01,500000,481000,11,2
good,1,27.4,2,3,1,2,2,18000,30181,32240,39.66,200000,62000,3,2
good,2,51.41,2,2,5,2,3,85000,349675,146587,39.26,500000,517500,0,2
good,1,34.4,2,2,1,2,2,50000,1590692,109677,17.91,500000,160000,12,1
good,2,42.41,2,2,1,2,2,80000,1617840,204612,14.53,500000,280000,1,1
good,2,47.41,2,3,5,2,3,40000,224708,311408,52.96,450000,226700,0,1
bad,2,49.42,2,2,1,2,3,56000,416029,88478,6.83,500000,153000,5,1
good,2,36.41,2,1,2,2,5,80000,1681990,423990,57.67,180000,1021818,0,1
good,1,50.42,2,2,3,2,3,15000,1445983,141181,21.85,500000,844000,0,1
good,2,41.41,2,2,1,2,3,50000,274925,118424,35.32,115000,316800,0,1
good,2,25.4,2,2,2,1,3,9000,1532986,154600,40.66,450000,194801,0,1
good,2,49.42,2,3,1,2,2,60000,1074716,87507,70.7,200000,197750,0,1
